ROI number,Cell_Type,Angle,Stage
161,Epidermis,-16.19,S5
162,Epidermis,-79.27,S5
163,Epidermis,-53.18,S5
164,Epidermis,-84,S5
165,Epidermis,20.78,S5
166,Epidermis,-80.69,S5
167,Epidermis,-77.65,S5
168,Epidermis,-70.42,S5
169,Epidermis,-87.19,S5
170,Epidermis,83.61,S5
171,Epidermis,48.82,S5
172,Epidermis,-74.25,S5
173,Epidermis,67.33,S5
174,Epidermis,73.06,S5
175,Epidermis,-88.35,S5
176,Epidermis,36.33,S5
177,Epidermis,75.26,S5
178,Epidermis,-80.84,S5
179,Epidermis,-71.16,S5
180,Epidermis,77.74,S5
181,Epidermis,-74.83,S5
182,Epidermis,-84.94,S5
123,Epidermis,-79.54,S5
124,Epidermis,-75.79,S5
125,Epidermis,-49.72,S5
126,Epidermis,5.86,S5
127,Epidermis,-78.32,S5
128,Epidermis,0.17,S5
129,Epidermis,55.37,S5
130,Epidermis,86.58,S5
131,Epidermis,82.67,S5
132,Epidermis,-78.73,S5
133,Epidermis,76.39,S5
134,Epidermis,81.07,S5
135,Epidermis,-55.38,S5
136,Epidermis,-82.94,S5
137,Epidermis,-0.23,S5
138,Epidermis,75.49,S5
139,Epidermis,-84.11,S5
140,Epidermis,64.42,S5
141,Epidermis,68.65,S5
142,Epidermis,-54.22,S5
143,Epidermis,32.29,S5
144,Epidermis,-22.8,S5
145,Epidermis,-80.57,S5
146,Epidermis,-67.75,S5
147,Epidermis,8.24,S5
148,Epidermis,29.12,S5
149,Epidermis,84.32,S5
150,Epidermis,-75.99,S5
151,Epidermis,14.03,S5
152,Epidermis,-31.46,S5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
